Solyc12g006940.2	17172
Gene	P-Value	Binary
Solyc04g078080.1	0.0025145376678628734	0
Solyc09g009560.2	0.0026014441653476033	0
Solyc03g117150.3	0.0026047681887301924	0
Solyc02g094580.3	0.0026080948089648075	0
Solyc11g013300.2	0.0026080948089648075	0
Solyc02g089270.1	0.0026097590930139664	0
Solyc01g103310.5	0.0026097590930139664	0
Solyc03g006580.3	0.0026097590930139664	0
Solyc02g093970.4	0.0026097590930139664	0
Solyc02g089830.2	0.0026097590930139664	0
Solyc02g069110.5	0.0026097590930139664	0
Solyc02g063130.4	0.0026097590930139664	0
Solyc00g500066.1	0.0026097590930139664	0
Solyc01g073930.3	0.0026097590930139664	0
Solyc03g005250.5	0.0026097590930139664	0
Solyc01g101160.2	0.0026097590930139664	0
Solyc03g059070.4	0.0026097590930139664	0
Solyc04g070970.4	0.0026097590930139664	0
Solyc03g115490.1	0.0026097590930139664	0
Solyc05g052170.5	0.0026097590930139664	0
Solyc03g095870.3	0.0026097590930139664	0
Solyc05g007580.1	0.0026097590930139664	0
Solyc04g080930.4	0.0026097590930139664	0
Solyc08g006570.4	0.0026097590930139664	0
Solyc11g065190.3	0.0026097590930139664	0
Solyc09g092010.1	0.0026097590930139664	0
Solyc11g044330.3	0.0026097590930139664	0
Solyc10g085820.2	0.0026097590930139664	0
